Customer_ID,Customer_Name,Customer_Email,Signup_Date,Loyalty_Tier
8e335e72-da1c-4856-b896-ed9a4c6c745a,Robert Levine,bradleybonnie@hotmail.com,2024-01-03,Silver
20d80e84-1b15-4ae1-9742-a753975a773f,Jessica Wolfe,lawrencestephanie@yahoo.com,2023-08-22,Gold
41257bb7-9d1d-4aa9-95c2-a6310eaee0c9,Ronald Gonzalez,frank29@crawford-graves.info,2022-07-22,Silver
4120c73c-0f88-407c-8569-15b752b2088e,Laura Bailey PhD,lynnbarber@gmail.com,2023-12-04,Gold
2228e63b-2fdc-4e60-818c-4d7deb7d3853,Mr. James Wade,stevenacosta@thompson.com,2023-06-30,Silver
53e58cce-cf86-477b-bded-51dfe4e63918,Kevin Johnson,joshua81@yahoo.com,2023-08-28,Gold
a321486f-d94c-4423-be52-f4fbbf31988c,Danny Dean,anthonybrewer@yahoo.com,2024-02-01,Silver
6c5337ef-e973-4095-8ff9-2374b01cb286,Christopher Bell,brian00@gmail.com,2023-03-12,Silver
ce1d0832-99e3-415b-ba24-89a0f381515b,Marcia Roman,melissa47@hotmail.com,2023-05-28,Silver
b4426255-d3fc-4737-a7ee-d5306d061113,Richard Harris,sydney70@jones-elliott.com,2023-06-01,Platinum
02f351bb-7284-4410-b785-5acf80a22003,Derrick Mathis,delacruzjason@hotmail.com,2022-07-31,Silver
650ea753-b57f-4a32-8c3d-a17aef9ee7c1,Steve Vang,kimberlycunningham@jones.net,2024-03-09,Gold
6956aea2-1e98-42fe-a8bd-85f321e27f30,Kara Rodriguez,jwilliams@yahoo.com,2023-09-03,Gold
b2724133-147a-4781-80f5-e694e866df7e,Chad Miller,crosspriscilla@gmail.com,2022-10-13,Silver
4e2da11b-6cda-47c3-b106-1720bda1ea02,Hannah Chavez,judith60@jarvis-murray.biz,2024-03-11,Silver
81375ea3-c831-4561-aa84-bfffd305cbcb,Walter Diaz,edwardslevi@gmail.com,2024-04-30,Silver
53824c2f-60bf-4a05-81f3-667b3c35d96b,Brooke Dorsey,timothy76@bishop.com,2023-02-19,Silver
4198ca4c-d0f9-4d79-b863-73004d9cea18,Joy Davis,josehubbard@gonzalez-hernandez.org,2023-11-06,Silver
c2922b2a-3fa3-4b38-9e2c-804fbd282adf,Cynthia Francis,rachelwarner@hotmail.com,2023-01-03,Gold
a37cf367-c90d-49dc-84a1-5fa45340d6ea,Neil Smith,brenda65@gmail.com,2023-12-23,Gold
e0ef9f60-f58d-42d4-baf6-410206f3ea4f,David Jones,wayne65@montoya-dixon.com,2023-06-01,Gold
0c850b07-744b-4e28-b6e2-dae6e68c20f5,Jacqueline Torres,hjackson@yahoo.com,2024-02-28,Silver
32823cd2-96aa-4686-81f5-2471230255c3,James Phillips,heathercontreras@thomas.com,2024-01-30,Gold
ee9f6f5f-f442-4bc0-a93e-379948948ae1,William Campbell,rittermichael@yahoo.com,2023-11-02,Silver
74aaac37-e762-4b3e-802b-a9ce8998826d,Andrew Haas,harriskristen@yahoo.com,2023-11-19,Silver
07c42a8b-550b-4089-bbe1-57fa94e36128,Dennis Hawkins,uhodges@yahoo.com,2023-03-20,Gold
e1b71bee-b06c-4246-8778-e2f3cae6bd83,April Little,bakerjonathan@yahoo.com,2023-09-10,Gold
ef340586-3ba1-4459-905e-75a3d313e6f1,Cassidy Cabrera,gerald81@riddle.net,2023-03-29,Silver
3aee5bd4-6b70-4ddb-b2f2-1408e077e5c7,Felicia Sherman,kinggerald@atkins-willis.biz,2024-03-21,Gold
aee86e2b-757d-47d3-a87d-99bd679866bb,Heather Alvarez,maryellison@gmail.com,2024-03-31,Silver
3efa5f17-1a0b-42b2-9460-196c10f0d2c0,Michelle Butler,jamiegardner@yahoo.com,2024-02-13,Gold
83736a53-d005-4013-b745-6636b52c3f49,Kimberly Sparks,vhayes@maynard.com,2022-06-29,Silver
8e073b02-5003-47e7-80f8-96585b65401d,Ms. Shannon Smith,jonesrichard@hart.com,2023-09-01,Silver
c4d003c3-0970-41e9-8049-e983346edce3,Wendy Gonzalez,youngriley@hotmail.com,2023-08-04,Gold
18ec27c4-bc06-4200-a06c-0d3f632da957,Stephanie Hernandez,sara84@baker.com,2022-08-14,Gold
74803f97-53f2-4e00-a83f-677038ff3830,Susan Stevens,michaelharrison@gmail.com,2024-03-21,Silver
fc12ca5e-d494-49d9-8e91-ef912f307d22,Ricardo Banks,kayla28@aguilar.info,2023-10-27,Gold
6e7f96dd-d312-4b95-9264-63d8e472acb3,Kathleen Arnold,ramirezmarcus@yahoo.com,2023-01-07,Platinum
d7101ead-6d46-4738-94f6-5c39aff42d86,Michael Morales,pwhitehead@hotmail.com,2024-02-05,Gold
a853559c-bbcd-4752-bb36-7f4ae11d6e1a,Cassandra Foster,davidramirez@lopez.com,2024-04-29,Gold
d42e3b98-fbf1-4735-8abe-a566ce306290,Diane Barton,tranrobert@brewer-garcia.com,2024-04-05,Gold
0982b55e-d810-4dd2-b1cf-81eb76732c75,Luis Jackson,ashley05@rice.com,2023-05-12,Gold
e2f4b3ea-e05a-4f65-9167-1199354da208,Brittany Cook,kyleboyer@sandoval.com,2022-06-20,Silver
76966716-5453-4b89-954d-f1adb1eb3d6e,Miguel Davis,youngchris@acosta.com,2023-01-21,Gold
8714467a-cdee-4f4e-9dbc-32ae1f475d7d,Hector Lawson,freemanjennifer@yahoo.com,2023-01-29,Silver
0116740f-a6c2-464b-a169-a20a8d28a637,Shannon Benton,jhorn@phelps.org,2024-04-23,Silver
41c6524a-83fe-4f1d-b9b4-fb3b98e4271b,Ross Warren,david81@yahoo.com,2023-06-01,Silver
010e12ae-b3f5-4449-95a4-1db765ffbf9c,Douglas Johnson,deborah57@johnson.com,2024-02-19,Silver
5d9575ed-7794-4927-978d-df8cb546285d,Brandon Martin,lisaperez@murphy.com,2023-12-02,Silver
fd49e31c-c8ca-48a2-94d8-00d6c24619da,Stephanie Holmes,comptonheather@hubbard.info,2024-04-08,Platinum
03c6d3c5-947a-4eb6-a4f4-0a72c43a2791,Angela Schroeder,carrolltracey@smith.net,2023-09-11,Silver
dea60738-46de-4b56-824a-ec398d96b8b6,Grace Perry,cummingsedwin@hotmail.com,2023-03-12,Silver
327c36a3-700e-47e3-bc4d-3e948344e449,Mary Foster,kim25@hotmail.com,2022-05-18,Silver
b53fe2e6-a811-4473-8029-d1fd0e7750ae,Stacy Lee,tkane@morris-robinson.com,2023-03-25,Silver
49dbef22-982a-4851-a67f-77b4e0bb67d6,James Graham,robinsonnicholas@yahoo.com,2023-10-27,Silver
5724eb98-0c16-4c99-aa92-32feb18704d3,Barry Black,timothy41@dorsey-olsen.com,2024-03-06,Silver
c86dfcf2-63e5-47df-a14a-f255abb26f00,Thomas Reynolds,dustin79@gmail.com,2023-03-03,Gold
ed40de0a-0651-4ff2-b2a4-7d2bcffdd989,Michelle Flores,rsaunders@johnson-green.com,2022-07-20,Silver
